0007106823	A1UPBP7ED9DTTY->5.0;
B0009F5ZXS	A3915SRVUGEXY5->3.0;
B0009PK7KO	A12O8IHB65BC1S->4.0;
B0009Q5XOS	A4QCLLNAVAFOG->4.0;A1UIXA657W8LWT->4.0;
B0009U5K06	A150UH3AOBSBJS->1.0;A1HC1GSJB237S1->5.0;
B000BEZOVU	AFHOVCMLDWQM0->5.0;
B000BFR75U	A2H7147HA3PTMI->5.0;A3327JSQWEFR50->5.0;A34WFAS3T0M4WC->5.0;A20RB7B07GCBJA->5.0;A1B45YCGQDFE48->5.0;A3D75KYK8RWVUF->5.0;A1E2519VSQHC8Q->5.0;A3D8H5HOLNU4GM->5.0;A1DFRERSKCSWX1->5.0;A57A1IUI9SPX7->5.0;A9JRXM1FOMKD->5.0;A20WDNYXK7K1JL->5.0;A2KJQKAGTN3PF9->5.0;A3HM2GJIOKYZ5M->5.0;A10KCRBDX3RYXZ->5.0;A3FWKJK73U84KR->5.0;A2J5ZH4WBQCHS0->5.0;A1H3I2EOZA34XR->5.0;A1SQGOL9N2RDV1->5.0;A3NB4M1MCOKGBN->5.0;A2FNACG5P10HQH->5.0;
B000BIOH4Q	A1FMERNZRUHU1X->5.0;A2JXXJTLX32VTQ->5.0;A27JJILLBKWIR9->5.0;A122JNQDGCKIR9->5.0;A1PNJAY2S62SBY->5.0;A1NJ1V1R7EMDOV->5.0;A3P222CN9HAPTF->4.0;
B000BXMA6S	A11ED8O95W2103->4.0;
B000CAFKA8	A3L2AKB4VHDFGH->5.0;A23Z62GBQOA68O->5.0;
B000CAKJMM	A3MA7SDWD1HJE5->5.0;
B000E1EFU6	A1UWYPTT00EVAO->4.0;A319SKSB556033->3.0;A3T0QJGZSBMHEO->5.0;A1UQ48YVAQ6BG0->5.0;A3LQ1GVL6E6Z0B->5.0;AX7BW5O70WQR7->1.0;
B000E267RO	A3GDZ6P9XZEVGO->5.0;
B000ENKHPG	A6SZH9UA81OBL->3.0;A37BN2S9395O7N->5.0;A4Q0KSQTAO64J->2.0;A274OJ4I0TROMD->5.0;A2MYQ4U0Y0SB70->5.0;A1YN69RGLGZIUQ->5.0;APZO70DJTO3DY->5.0;A1XSEXEQBWMH3M->2.0;A34U3VQ8IVCRT4->2.0;A22TR6GREUNSJ3->1.0;A3PY4BVIP60W1G->4.0;A1P93Z5MVTLEAZ->4.0;
B000EVS4TY	A2SRVDDDOQ8QJL->4.0;
B000F158BA	A1A4U27E8Z4PR4->1.0;
B000F48D8M	AE69JIBYDZS59->5.0;A37JH5R0FTQM3S->5.0;A3ML7SWYXP9XPQ->3.0;A3R3TWZF2FVKOG->2.0;A1DNO3JBXCRIHY->5.0;A2B0DPQK20LYYJ->2.0;
B000F8L3I0	A1GJS7NT0KY3PK->5.0;A3UWCRB86NEVOC->4.0;
B000F8L3IK	A2PF4C1R6OALE9->4.0;
B000FDFKSE	A2RMR7S1YYG6EW->1.0;A5YH6TMA11N7Z->2.0;A1LGXHNU4ZVUTF->5.0;A3PKIM8DAAUNIC->1.0;A2PBSSX6WDSY9Z->1.0;
B000FZEKVA	AT3V0XSYZCPAK->5.0;A33LNJBNL8KCU6->4.0;A2LI0ZEY24NV0H->5.0;A39UPOQA58NN84->5.0;A26VGIYR3MBPBX->2.0;A3FLLLNCPBDJK5->5.0;A2RAOL3OPAJDXW->5.0;A1C70M5L6DUJCC->5.0;A2A7VCHP549UTE->5.0;AT1AMNDM77YL0->5.0;A14OJS0VWMOSWO->5.0;A1YV1QYOQD8XJR->5.0;
B000GKXY34	A3NM6P6BIWTIAE->3.0;ADX8VLDUOL7BG->5.0;
B000GKXY3Y	A1HNPYO1J2OIGM->5.0;
B000GNOHR8	A2SKWYKXSB8SZX->5.0;AXZH339L3JGI6->5.0;
B000H9LE4U	ABWHUEYK6JTPP->1.0;
B000INBSZK	A19EB0AK1LX47M->5.0;A3E9EHNB6AXDKC->5.0;AETXMLUXMUPGX->5.0;A17MUUXD6R9TY4->4.0;A3IC8ZSANG7HAI->5.0;
B000IZ8AZO	A3K2S5XC8IFAHI->4.0;A17HSXT283RXWT->5.0;
B000J0WAL8	A13HM114N5JIH3->3.0;
B000JINSBG	A2HF2IYAYUH8P8->4.0;A15A5KPP3AL76U->5.0;A3V0MK4KOD61KO->5.0;
B000JVER7W	A7L6E1KSJTAJ6->5.0;A2NOQQ7I6PU7CW->4.0;A1RXYH9ROBAKEZ->1.0;
B000JVUKF0	A2JTEBS0Q71848->4.0;A2WLQPEHMXYI04->4.0;A4UGME32472M9->5.0;
B000K5JBZU	A3UWJXJI7S3T05->5.0;A1QAXWETH56D6J->5.0;
B000KBH818	AKY819078CJN1->5.0;unknown->4.0;
B000KX0HCI	A1VLNKVW8HS9XL->5.0;A3FVVI53NF3YND->5.0;A19Q360RGWLJV2->5.0;A3NK3XKNVFYZ3W->5.0;A2DZTCCA8VNWZG->4.0;A17CP110C6E9KF->5.0;A2CH1K8VK94C4H->4.0;A2PYGGDE3NIEBZ->5.0;
B000L2LGUU	A297SKGNX8HXXL->5.0;
B000LCX1FS	A3S63BBKSZZZQZ->5.0;
B000MTFFI6	A2T98LE6DU8P9W->4.0;AZLEUGSG2H2PH->3.0;A1I7GHG2XNYO3J->2.0;
B000MURQAK	A2RHOJZY1I2Y0F->4.0;
B000MZWX8A	AQ352MXJROG4->5.0;A7KUVKCOSX1DZ->5.0;
B000N4RBXC	A237DKHOOJCM0D->5.0;
B000N8X006	A1EWDDXXJCL4AB->5.0;A32QKAMLMB7ZFL->1.0;ASN8MLGIW98Q5->5.0;A3M7XN62IXWYUO->5.0;A1GBR0JY5F8H30->5.0;A3752ZS0O37QUA->1.0;A20U6RRK92WUNS->4.0;A1SZGWQ6N6FQNL->3.0;
B000NJAILO	A3J356L2ADK05Z->5.0;AB2AQMK9PCWWX->5.0;
B000NKGYMK	A2UMP9TJTJ6A6B->1.0;AC2TK7NHKB5C0->5.0;A2E0GB5QZRX2JZ->5.0;A7VSVB6Z0JHOV->2.0;A1VXDNO64WERDD->5.0;A2BDX4R1Y9Q23I->5.0;AT050AMICV57J->5.0;A33H49YV18XF5F->5.0;A2ZVR2ZB5N0U49->5.0;A258YNWJW2264M->3.0;A34M31J29P6ZN0->5.0;A33IOAYAZ5A6F0->3.0;A33DRIYX3XWX4D->3.0;A2WY5VMJQ0MM1A->5.0;A3NOYB2S6CCFY->3.0;A4P2SF4ILVVIL->5.0;A3KIUJTLKA3Y2J->4.0;A2FX00QQ0HR1AW->5.0;A9XNAKYFS2OBN->5.0;A2ALLTFYQ2QEA7->5.0;A7IA8CTTSQ7A4->3.0;A3TIBVQGLAB2AM->5.0;unknown->5.0;A3CNQIKVTG9QYO->5.0;AC58Z72OB2DDX->5.0;unknown->5.0;A22T74YNRM8NTK->5.0;
B000NPR4RO	A1EPWWI6CV3RJC->2.0;
B000O1CRYW	A2FEQ9XL6ML51C->5.0;A183LI95B2WNUQ->5.0;A1LSSENM0XIQQR->3.0;A2E5PZE1PZVK38->5.0;
B000P3A55M	A1PCNVBHBHMEN2->2.0;
B000P9EUKW	AHKX05NRSIJUR->1.0;ADXW5KPVZ4RD4->1.0;A3VRQKJED2OBHD->1.0;
B000PD5Z3E	A1RRMZKOMZ2M7J->5.0;
B000PHTCGG	A1OB5L3WMHJAD9->4.0;A1TIZI060W4BD9->5.0;AD033ETV5996N->5.0;A1OD12WATUM1GL->3.0;
B000PXXLJ4	A3GL1O8ZVDHW4L->3.0;A2LT4SM3V4V02R->5.0;
B000XUOLVQ	AJO845T34ONT0->5.0;A2HUDDEJCGH18R->4.0;AYGDKEVDCOHRJ->5.0;A1C08KLFIHSJMZ->5.0;AZ9JWGE1UGKZA->4.0;A11ES13Y64903L->5.0;A2MLP4UGTF1RX4->2.0;AR2RMGTQBO78F->5.0;A1HJMME4EMK3TP->3.0;A2NN74JAV2YYZV->5.0;A38MLFWRE15D4W->5.0;A28L5Y1PN88FCW->5.0;A25PG3JLB5TB5L->5.0;A2O1EJN5Q8HJJF->5.0;A3U3BEZMH3F01Q->4.0;A2CISZ4JLKQRJA->5.0;A2IL4GL10USIRG->5.0;A15WLWMCGWOOVZ->5.0;A35S32Y66WOMZT->4.0;
B001CQ5PDI	A2LHL2C7J0JZQV->1.0;
B001GE2CDM	A3MJIXDIQT5S16->1.0;A1GGOC9PVDXW7Z->5.0;
B001GE2CDW	AM18CU72YEWH5->1.0;AF9KIJ6WBUXVP->2.0;unknown->1.0;A2QP657Z6VB5PV->5.0;A21DZRY1MFMK1H->4.0;A4E3HX2A7PQMC->4.0;
B002BNZ2XE	A2Z8GGXKF1W48Y->4.0;AZVY9Y3A0YU1I->4.0;A2582KMXLK2P06->4.0;A26R4PDCZX5SOK->2.0;unknown->5.0;
B004H9ZQ68	A2FSEZ7KWU3MIY->3.0;A1QAULZ03WCAEO->1.0;
